mode,W_SM_KiB,blocks_per_SM,active_SM,load_repeat,component,accepted,reason,net_E_J,elapsed_s,ncu_l1_hit_rate_pct,ncu_l2_hit_rate_pct,ncu_l1_bytes,ncu_l2_bytes,ncu_dram_bytes,expected_shared_bytes,ncu_shared_accesses,ncu_stall_long_scoreboard_pct,ncu_stall_short_scoreboard_pct,ncu_stall_wait_pct
l2_load_only,64,16,82,8,l2_hit_path,true,accepted,287.635904471,1.563038239,88.5377,99.8115,1.07479e+13,1.23685e+12,4405220000,0,,71.7493,51.9384,183.122
clocked_empty,64,16,82,16,reject,false,mode_or_w_not_selected,30.2836128506,0.17798522,21.7226,50.8593,0,854130000,637940000,0,,0.000507,0.000114,175
global_l1_load_only,64,16,82,16,reject,false,mode_or_w_not_selected,596.962594068,3.265511598,88.1275,99.7473,2.14958e+13,2.56132e+12,8190700000,0,,69.2961,52.363,208.09
shared_load_only,64,16,82,16,shared_l1_path,true,accepted_expected_byte_denominator,485.133855173,2.450353751,27.5697,31.5735,0,25098450000,19077600000,10747904000000,175049000000,0.000137,95.2839,193.757
l2_load_only,64,16,82,16,l2_hit_path,true,accepted,557.792237725,3.127517529,88.5489,99.6526,2.14958e+13,2.473625e+12,10940700000,0,,72.8972,52.7626,180.168
clocked_empty,8192,16,82,1,reject,false,elapsed_too_short,6.8298237865,0.037776607,,,0,0,0,0,,,,
dram_load_only,8192,16,82,1,dram_streaming_path,true,accepted,156.31657909,0.77939116,49.9995,0.232827,1.34349e+12,678875000000,677450000000,0,,1153.79,57.1303,186.467
clocked_empty,8192,16,82,2,reject,false,elapsed_too_short,-8.35365629167,0.057353383,,,0,0,0,0,,,,
dram_load_only,8192,16,82,2,dram_streaming_path,true,accepted,356.308722037,1.574053996,49.9996,0.380448,2.686975e+12,1.352955e+12,1.35127e+12,0,,1286.75,61.9263,160.012
clocked_empty,8192,16,82,4,reject,false,elapsed_too_short,-10.3597435986,0.070480538,,,0,0,0,0,,,,
dram_load_only,8192,16,82,4,dram_streaming_path,true,accepted,706.33916307,3.137116582,49.9997,0.173057,5.37395e+12,2.696505e+12,2.69486e+12,0,,1355.29,65.1031,152.772
clocked_empty,8192,16,82,8,reject,false,elapsed_too_short,9.96528858613,0.108625766,,,0,0,0,0,,,,
dram_load_only,8192,16,82,8,dram_streaming_path,true,accepted,1473.31337432,6.196788144,49.9997,0.198869,1.07479e+13,5.39885e+12,5.39535e+12,0,,1407.74,66.8501,148.819
clocked_empty,8192,16,82,16,reject,false,missing_ncu_join,23.6553852596,0.183186703,,,0,0,0,0,,,,
dram_load_only,8192,16,82,16,dram_streaming_path,true,accepted,2727.14326222,12.377833033,49.9997,0.162613,2.14958e+13,1.078125e+13,1.07748e+13,0,,1422.35,67.781,146.816
clocked_empty,16,16,82,1,reject,false,elapsed_too_short,-5.70015383253,0.037709727,,,0,0,0,0,,,,
global_l1_load_only,16,16,82,1,global_l1_path,true,accepted,18.9581115899,0.20782559,99.9891,28.7492,1.34349e+12,4408100000,3353020000,0,,10.7234,39.7414,201.83
