input_file,backup_file,row_index,run_id,elapsed_s,measurement_start_epoch_ms,measurement_end_epoch_ms_original,measurement_end_epoch_ms_repaired,original_interval_mismatch_ms,energy_fields_modified
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,52,reg_mma_1783989780400_r0,10.078310189,1783989770316,1783989780395,1783989780394,0.689811,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,53,reg_operand_only_1783989792368_r0,1.697550332,1783989790665,1783989792363,1783989792363,0.449668,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,54,reg_operand_only_1783989801844_r0,1.485010446,1783989800354,1783989801839,1783989801839,-0.010446,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,55,reg_mma_1783989822236_r0,10.127808223,1783989812101,1783989822229,1783989822229,0.191777,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,56,reg_mma_1783989840409_r0,10.113291245,1783989830287,1783989840401,1783989840400,0.708755,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,57,reg_operand_only_1783989852068_r0,1.366285149,1783989850695,1783989852061,1783989852061,-0.285149,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,58,reg_operand_only_1783989867139_r0,7.004959323,1783989860129,1783989867134,1783989867134,0.040677,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,59,reg_mma_1783989887558_r0,10.173291465,1783989877378,1783989887551,1783989887551,-0.291465,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,60,reg_mma_1783989905619_r0,10.012046897,1783989895602,1783989905614,1783989905614,-0.046897,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,61,reg_operand_only_1783989918516_r0,2.616898045,1783989915894,1783989918511,1783989918511,0.101955,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,62,reg_operand_only_1783989928952_r0,2.410129227,1783989926537,1783989928947,1783989928947,-0.129227,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,63,reg_mma_1783989949380_r0,10.183252808,1783989939192,1783989949375,1783989949375,-0.252808,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,64,reg_mma_1783989967649_r0,10.209426673,1783989957434,1783989967644,1783989967643,0.573327,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,65,reg_operand_only_1783989980206_r0,2.25491152,1783989977946,1783989980201,1783989980201,0.088480,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,66,reg_operand_only_1783989992152_r0,3.92282302,1783989988222,1783989992145,1783989992145,0.176980,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,67,reg_mma_1783990010345_r0,10.149274202,1783990002415,1783990010339,1783990012564,-2225.274202,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,68,reg_mma_1783990030822_r0,10.21173934,1783990020604,1783990030816,1783990030816,0.260660,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,69,reg_operand_only_1783990040432_r0,1.658894844,1783990041066,1783990040422,1783990042725,-2302.894844,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,70,reg_operand_only_1783990052257_r0,1.54587089,1783990050705,1783990052251,1783990052251,0.129110,false
